Unnamed: 0,Gene,scores,log2FC,p_value,q_value
189,Akap13,4.9191227,0.16121472,9.41061659131636e-07,4.9698618539140647e-05
190,Limd2,4.917016,0.2158005,9.523510787252032e-07,5.0157111320682986e-05
191,Igf2r,4.912729,0.64642334,9.937709091284203e-07,5.203974374564053e-05
192,Nudt16,4.9098444,0.45339575,9.996244493507377e-07,5.225814482439133e-05
193,H2-T23,4.9094057,0.20395757,9.90276446918195e-07,5.194434882795727e-05
194,Mcoln2,4.9092155,0.43641067,1.0022912128588006e-06,5.230949417294846e-05
195,Nrxn1,4.887488,0.36731854,1.1139580001843654e-06,5.701143229947129e-05
196,Selenbp1,4.8837423,0.35484573,1.137675273145789e-06,5.791513156884623e-05
197,Pygl,4.8722095,0.35038787,1.2029164612974685e-06,6.08374020727529e-05
198,Slc7a4,4.8624077,0.5255389,1.2686179503582864e-06,6.343702610704648e-05
199,Syn3,4.845161,0.6910885,1.3922577651400334e-06,6.88435993326329e-05
200,Gm454,4.8195157,0.6627386,1.579553688137316e-06,7.724390657909933e-05
201,Scube3,4.7938905,0.90929306,1.8086757422542035e-06,8.721243450965805e-05
202,Gria3,4.77904,0.4935888,1.918003920659396e-06,9.19132341793769e-05
203,Kmt2c,4.777648,0.21881339,1.9098141531738733e-06,9.166222395441776e-05
204,Fkbp9,4.7768497,0.5075936,1.9443222369026614e-06,9.274506670128778e-05
205,Mill2,4.7519383,0.75951695,2.2049166146250648e-06,0.0001043738957834
206,Itih5,4.7509,0.27922398,2.1834313804842666e-06,0.000103514648333
207,Car2,4.734875,0.2373802,2.347774979066482e-06,0.000110295698071
208,Lhcgr,4.732013,0.76356053,2.4252088162091416e-06,0.0001137613434588
209,Atp6v1b2,4.7282166,0.34930944,2.4537445558856334e-06,0.000114926289131
210,Smim14,4.7237077,0.22992274,2.488708055723031e-06,0.0001163883302023
211,Vnn1,4.7142167,1.2522193,2.68995337647602e-06,0.0001252340662664
212,Slc18a2,4.703386,0.3947556,2.759958647696338e-06,0.0001279179043088
213,Cpxm1,4.700299,0.74095285,2.8289414947895746e-06,0.0001307248813061
214,Fmnl1,4.6891336,0.18508145,2.9379673580715447e-06,0.0001347602664256
215,Tns1,4.680777,0.3039313,3.070622098432792e-06,0.0001402235706215
216,Xkr6,4.6586757,0.47269738,3.441393427409257e-06,0.0001557807435879
217,Ctsf,4.6519976,0.52791905,3.545091677903931e-06,0.0001593744351748
218,Tspan33,4.64075,0.8658729,3.7957795875536e-06,0.0001679064722682
219,Acadm,4.6371026,0.22707714,3.7859527040906056e-06,0.0001679064722682
