Unnamed: 0,Gene,scores,log2FC,p_value,q_value
18528,F3,-0.1692657,-0.26119232,0.8656094106136762,1.0
18529,Dsp,-0.16926849,-0.13810606,0.8656015283927208,1.0
18530,Ccdc7a,-0.16938026,-0.07265741,0.8655144766590324,1.0
18531,Il1rapl2,-0.16939536,-0.04387769,0.8655025812336519,1.0
18532,Ifnar2,-0.16965991,-0.009947718,0.8652970328495302,1.0
18533,Gm16867,-0.1698545,-0.21910112,0.8651450428482119,1.0
18534,Glt8d2,-0.16996552,-0.04171199,0.8650552487473662,1.0
18535,Gck,-0.1700828,-0.10775763,0.864958844312081,1.0
18536,Usp47,-0.17048147,-0.011322088,0.8646507300235639,1.0
18537,Gm13832,-0.17092697,-0.09555951,0.8643048043901616,1.0
18538,Dlx4os,-0.17111367,-0.21557978,0.8641544036643685,1.0
18539,Adam32,-0.17125946,-0.14625792,0.8640387089173394,1.0
18540,9030025P20Rik,-0.17135556,-0.018609796,0.8639625641983908,1.0
18541,Spaca1,-0.17141908,-0.052974213,0.8639121612278522,1.0
18542,Mttp,-0.17162922,-0.027219692,0.8637480128622801,1.0
18543,Anxa5,-0.17185561,-0.010945546,0.8635697793573368,1.0
18544,Dgkq,-0.1718801,-0.023733009,0.8635496163321676,1.0
18545,Olfr571,-0.17204435,-0.084146865,0.8634214871412874,1.0
18546,Tcrg-V4,-0.17289549,-0.3181818,0.8627484590326733,1.0
18547,Klhl41,-0.17293623,-0.15027103,0.8627199549237728,1.0
18548,4930534H03Rik,-0.17312561,-0.18196112,0.8625667549421834,1.0
18549,Spata3,-0.17320961,-0.28238434,0.8625054926974992,1.0
18550,Srpx,-0.17350622,-0.24847822,0.8622745128250349,1.0
18551,Gm12525,-0.1736372,-0.2128605,0.862165561070686,1.0
18552,Nipsnap2,-0.173723,-0.012424638,0.8621023606413853,1.0
18553,Nr2c2ap,-0.17374073,-0.016894134,0.862088812602154,1.0
18554,Mdn1,-0.17374307,-0.009893236,0.8620869769208755,1.0
18555,Myo19,-0.17387675,-0.025026008,0.8619814618384073,1.0
18556,Dppa2,-0.17388223,-0.31370118,0.8619733727713725,1.0
18557,Olfr607,-0.17390597,-0.16417865,0.8619559941654653,1.0
18558,Lrrc42,-0.17397396,-0.0194965,0.8619053102586478,1.0
18559,Dmd,-0.17449677,-0.03266678,0.8614943759950541,1.0
18560,Vmn2r76,-0.17467561,-0.36101887,0.8613484292575763,1.0
18561,Rasip1,-0.17476398,-0.07101716,0.8612820840481022,1.0
18562,2310040G07Rik,-0.17514892,-0.03878185,0.8609811247993286,1.0
18563,Washc5,-0.17569003,-0.014875614,0.860557627083129,1.0
18564,Ctc1,-0.17575672,-0.013491458,0.8605051973100784,1.0
18565,Dusp12,-0.17576435,-0.015254589,0.8604992577824951,1.0
18566,Tm2d1,-0.17590821,-0.015178603,0.8603864987797329,1.0
18567,Abhd12,-0.17592192,-0.016852614,0.8603748053925607,1.0
18568,Acaa1b,-0.17601712,-0.15034874,0.860301094568663,1.0
18569,A930017K11Rik,-0.17616236,-0.35163754,0.8601805624891707,1.0
18570,Gm35439,-0.17616796,-0.1884533,0.8601793113731451,1.0
18571,Olfr478,-0.17681791,-0.28717554,0.8596707402036395,1.0
18572,Tmbim7,-0.17734542,-0.127352,0.8592555168191376,1.0
18573,Pdcd7,-0.17742439,-0.01577818,0.8591946882745973,1.0
18574,Gm20496,-0.17795396,-0.061267115,0.8587776439648849,1.0
18575,Gm17571,-0.1782794,-0.037001546,0.8585229486213004,1.0
18576,Dhrs13os,-0.17858833,-0.116108686,0.8582780428757559,1.0
18577,Cntn2,-0.17862605,-0.19289976,0.8582518331149944,1.0
18578,Slc35a4,-0.17889673,-0.0103744045,0.8580387551172379,1.0
18579,Col14a1,-0.17906497,-0.13556862,0.8579129420348343,1.0
18580,Gm45518,-0.17943862,-0.26598963,0.8576077393800376,1.0
18581,Gm11802,-0.17946635,-0.07770253,0.8575866154592006,1.0
18582,Gm48492,-0.1798997,-0.1525185,0.8572487250540897,1.0
18583,Otoa,-0.18009342,-0.20182747,0.8570952613182911,1.0
18584,Shisa7,-0.18030338,-0.11149381,0.856929447000049,1.0
18585,Ascc1,-0.18062463,-0.015280013,0.8566827719015668,1.0
18586,Olfr763,-0.18096752,-0.20091681,0.8564074381116974,1.0
18587,Fbxo31,-0.1811193,-0.017354716,0.8562937968737366,1.0
18588,Fam83g,-0.18117218,-0.1211838,0.8562505305356778,1.0
18589,Slc16a5,-0.1812266,-0.11743941,0.856207033906979,1.0
18590,Mtcp1,-0.18134889,-0.02073212,0.8561137525098806,1.0
18591,Ndel1,-0.18161058,-0.014101598,0.855909393674928,1.0
18592,Mlst8,-0.18163696,-0.020287797,0.8558885136789512,1.0
18593,Atp5a1,-0.18177535,-0.0055297287,0.8557773599480126,1.0
18594,Retnla,-0.18218565,-0.3370973,0.8554517534436862,1.0
18595,Uckl1,-0.18266821,-0.012450721,0.8550781926589952,1.0
18596,Ralgps1,-0.18296464,-0.019464113,0.8548455719565448,1.0
18597,Gripap1,-0.18300088,-0.014373036,0.8548184089958162,1.0
18598,Tvp23a,-0.18311137,-0.05051472,0.8547303754172396,1.0
18599,Mtmr12,-0.18313152,-0.016328603,0.8547154613293364,1.0
18600,Phex,-0.18365245,-0.14558518,0.8543015623579195,1.0
18601,Prr18,-0.18366091,-0.12893978,0.8543007857705218,1.0
18602,Nr1i3,-0.18388996,-0.0795096,0.8541219672066458,1.0
18603,Vasn,-0.18396859,-0.01892895,0.8540593555479123,1.0
18604,Ttc17,-0.18414158,-0.016689576,0.8539223693565224,1.0
18605,Gm36161,-0.18414955,-0.07350374,0.8539167539063617,1.0
18606,Apool,-0.18428119,-0.017127272,0.8538135792351413,1.0
18607,Cts8,-0.18436083,-0.3815807,0.853745068003442,1.0
18608,Eri3,-0.1849248,-0.01061665,0.8533089335153708,1.0
18609,Lgals3bp,-0.18500988,-0.010226876,0.8532415684735916,1.0
18610,Nubp2,-0.18564014,-0.012956541,0.8527471521878003,1.0
18611,Trmt10b,-0.18588662,-0.02004261,0.8525545937453284,1.0
18612,Gm10521,-0.18614945,-0.05933693,0.8523495495402235,1.0
18613,Gm48942,-0.18640135,-0.206179,0.8521449008827163,1.0
18614,Gm6712,-0.18652359,-0.024270026,0.8520543886565315,1.0
18615,Glra1,-0.18676326,-0.38671166,0.8518611191975287,1.0
18616,Gm13346,-0.18747604,-0.02253603,0.8513068807826948,1.0
18617,1700063D05Rik,-0.18775316,-0.2729142,0.8510990325757141,1.0
18618,Atic,-0.18784076,-0.012239822,0.8510224724495081,1.0
18619,Cblb,-0.18788432,-0.013519305,0.8509883539465912,1.0
18620,Cttnbp2,-0.18788832,-0.068310246,0.8509810329899508,1.0
18621,Tsen34,-0.18808909,-0.01481977,0.8508281311614116,1.0
18622,Lcn12,-0.18820949,-0.08069425,0.8507288928490817,1.0
18623,Srp54a,-0.1885089,-0.017908024,0.8504996619377012,1.0
18624,Gm47882,-0.18862294,-0.06689188,0.8504085180161964,1.0
18625,Ermn,-0.18879856,-0.35902014,0.8502663090505165,1.0
18626,Trdc,-0.1889861,-0.285559,0.8501216155357149,1.0
18627,Zfp511,-0.18921693,-0.02032183,0.8499442867191278,1.0
18628,Sftpa1,-0.18937278,-0.39231327,0.8498157391471365,1.0
18629,Poc1b,-0.18950358,-0.017015439,0.8497206837443332,1.0
18630,Gm17206,-0.18970412,-0.0721417,0.8495596873798182,1.0
18631,Zranb3,-0.18987505,-0.022831738,0.8494296156956116,1.0
18632,Atf6,-0.19004229,-0.015513945,0.8492981300462572,1.0
18633,Rnf187,-0.1901863,-0.010343512,0.8491845185673512,1.0
18634,Gm15987,-0.19026019,-0.122837454,0.8491303840640931,1.0
18635,Gm3558,-0.19099413,-0.1502997,0.8485528299469515,1.0
18636,Gm34106,-0.19134054,-0.25184652,0.848281038633337,1.0
18637,Tor1b,-0.19185463,-0.016325349,0.8478775576123225,1.0
18638,Gm13201,-0.19220442,-0.16189481,0.8476017545463086,1.0
18639,Adamts13,-0.192262,-0.23178908,0.847552290125285,1.0
18640,Gla,-0.19232969,-0.04151736,0.847506499606511,1.0
18641,Swap70,-0.19246471,-0.01371098,0.8474003808197828,1.0
18642,Gm43660,-0.19478352,-0.037206758,0.8455841612700771,1.0
18643,Rnft2,-0.1951183,-0.21180801,0.8453185582418419,1.0
18644,Adgrg7,-0.19539323,-0.024842147,0.8451075100787346,1.0
18645,Bag6,-0.19579881,-0.01046027,0.8447906117778091,1.0
18646,Zfp597,-0.19585468,-0.02549943,0.8447457518566709,1.0
18647,Mpp5,-0.19587678,-0.021038564,0.8447287564299928,1.0
18648,Gm15966,-0.196075,-0.23131701,0.8445675895197037,1.0
18649,Gm19395,-0.19609988,-0.09151523,0.8445509942573677,1.0
18650,Olfr804,-0.19623293,-0.32116595,0.8444483989214457,1.0
18651,Cep19,-0.19641027,-0.018356442,0.8443116256205734,1.0
18652,Pcdhb22,-0.1965627,-0.08310168,0.844190564937615,1.0
18653,4930440C22Rik,-0.19658916,-0.29324958,0.8441762159677064,1.0
18654,Tacc1,-0.19665599,-0.009534766,0.844118997552871,1.0
18655,Gm13262,-0.19680819,-0.19088958,0.8439961238211359,1.0
18656,Kcnmb4os2,-0.19728962,-0.3509409,0.8436172021405862,1.0
18657,Gm35189,-0.19731885,-0.089464635,0.8436003457260941,1.0
18658,Apon,-0.19748728,-0.17122436,0.8434672256202902,1.0
18659,Olfr1291-ps1,-0.19757289,-0.3735265,0.8433956116893981,1.0
18660,Tnfrsf25,-0.19779538,-0.121506624,0.8432247598257723,1.0
18661,Cldn7,-0.19780307,-0.052575693,0.8432176393298687,1.0
18662,Tmem255b,-0.19833355,-0.31873444,0.842805811227541,1.0
18663,Gm12580,-0.19852631,-0.31196105,0.8426564448260591,1.0
18664,A230083G16Rik,-0.19856589,-0.1259704,0.8426201741181094,1.0
18665,Pter,-0.19884734,-0.023135712,0.8424040671461923,1.0
18666,Izumo4,-0.19915834,-0.022324936,0.8421603188506762,1.0
18667,Gm16028,-0.19915919,-0.41323575,0.8421540978108334,1.0
18668,Rxfp4,-0.19934234,-0.2163857,0.8420113707247587,1.0
18669,Adcy7,-0.1995993,-0.011434784,0.8418160970503688,1.0
18670,Gm48061,-0.19980898,-0.019419065,0.8416515261850882,1.0
18671,Upf1,-0.20005915,-0.013788195,0.8414580028082506,1.0
18672,Ciart,-0.2001503,-0.057038408,0.8413848763191223,1.0
18673,Oxct2b,-0.20021403,-0.09961199,0.841330856290336,1.0
18674,Irf3,-0.2004412,-0.01073597,0.8411581408058572,1.0
18675,Rtn1,-0.20069659,-0.2540475,0.8409561427883041,1.0
18676,Cdk5r1,-0.20105703,-0.06889936,0.8406735532543882,1.0
18677,4930509E16Rik,-0.20132242,-0.09545736,0.8404693981820777,1.0
18678,Gm43666,-0.20160215,-0.41847196,0.8402438398609264,1.0
18679,Clec16a,-0.20161512,-0.020228783,0.8402403601551107,1.0
18680,Olfr76,-0.20163296,-0.36056858,0.8402213857914954,1.0
18681,Atp6v0c,-0.20205227,-0.016592523,0.8398967175558374,1.0
18682,Gm34215,-0.2020725,-0.3879891,0.8398761596505261,1.0
18683,Gm20483,-0.20212133,-0.22895794,0.8398470405325702,1.0
18684,Gm5819,-0.20228069,-0.10391107,0.8397144288214715,1.0
18685,Armcx3,-0.20244665,-0.023154767,0.8395899724313541,1.0
18686,4732491K20Rik,-0.20246,-0.07559933,0.8395809172227298,1.0
18687,Tfcp2l1,-0.2025705,-0.05087373,0.8394928837243409,1.0
18688,AI839979,-0.2025728,-0.10016615,0.8394864894854841,1.0
18689,Mpz,-0.20258708,-0.18382765,0.8394747239664474,1.0
18690,Rexo4,-0.20264357,-0.013864934,0.8394364474359636,1.0
18691,Gm10435,-0.20267728,-0.21119738,0.8394097278828803,1.0
18692,Vsig2,-0.2027624,-0.037219964,0.8393432025754204,1.0
18693,Carhsp1,-0.20281467,-0.028350808,0.8393011619513029,1.0
18694,Mef2a,-0.20292178,-0.012550672,0.8392187147593645,1.0
18695,Ankrd34b,-0.20295118,-0.33059627,0.8391914058712425,1.0
18696,Miip,-0.2030764,-0.017264217,0.8390977967544103,1.0
18697,1700018A23Rik,-0.20309027,-0.107084244,0.8390834740386688,1.0
18698,Gm16015,-0.20357864,-0.36427397,0.8387006419640621,1.0
18699,Mipol1,-0.20445377,-0.023846693,0.8380220754670339,1.0
18700,Tmem266,-0.20447657,-0.17180492,0.8380054351711488,1.0
18701,Phax,-0.20474163,-0.013702602,0.8377967457434434,1.0
18702,Cep44,-0.20521577,-0.01898391,0.8374266245797505,1.0
18703,Dlk2,-0.20532662,-0.2024229,0.8373374722532156,1.0
18704,Zfhx3,-0.20543434,-0.014971757,0.8372549326786829,1.0
18705,Gm27007,-0.20547517,-0.38749778,0.8372179064429776,1.0
18706,Sgsh,-0.20552139,-0.022162018,0.8371873091150012,1.0
18707,Wdr47,-0.20579596,-0.04083453,0.8369732667532921,1.0
18708,BC003965,-0.20586565,-0.016403912,0.8369192572894202,1.0
18709,Kcnq3,-0.20592089,-0.30440554,0.8368724206106208,1.0
18710,Tspyl5,-0.2062089,-0.14046182,0.8366478368245751,1.0
18711,Gm45631,-0.20621806,-0.13202079,0.8366388517759138,1.0
18712,Slc6a17,-0.20636731,-0.13563249,0.8365257040848308,1.0
18713,Olfr569,-0.20663065,-0.26135394,0.8363177964426087,1.0
18714,Zfp956,-0.20671125,-0.022453276,0.8362577992150568,1.0
18715,Slc12a3,-0.20679174,-0.26551852,0.8361899980934868,1.0
18716,Tnfrsf1a,-0.20698592,-0.012339919,0.8360442420282642,1.0
18717,1700123J17Rik,-0.20714818,-0.25762808,0.8359174470066006,1.0
18718,Dnhd1,-0.20718445,-0.078237236,0.835885831684613,1.0
18719,4933433G19Rik,-0.20732644,-0.07922423,0.8357802984556137,1.0
18720,Fam229a,-0.20753099,-0.37333828,0.8356132210919862,1.0
18721,Npy1r,-0.2076861,-0.28178018,0.8354915994979677,1.0
18722,1700030J22Rik,-0.20810108,-0.13680014,0.8351723668151634,1.0
18723,Mettl2,-0.20827629,-0.01900003,0.8350369625227809,1.0
18724,Gm12089,-0.20828371,-0.11740603,0.8350302366259273,1.0
18725,Kbtbd6,-0.20831564,-0.05140315,0.8350067525244689,1.0
18726,Sdhaf3,-0.20879675,-0.029587805,0.8346311463117864,1.0
18727,Dnaaf5,-0.208908,-0.023196332,0.8345442896842811,1.0
18728,Slc5a3,-0.20903076,-0.018473832,0.8344483842097923,1.0
18729,Gm16237,-0.2090584,-0.12714353,0.8344278822546168,1.0
18730,Gm30122,-0.20925818,-0.1959399,0.8342648381616008,1.0
18731,Pcdhb17,-0.20928773,-0.077850215,0.8342474363444339,1.0
18732,Cav1,-0.20942697,-0.32864806,0.8341391473953864,1.0
18733,Rsl24d1,-0.20945941,-0.011212214,0.8341121923945384,1.0
18734,Eif4a1,-0.20962693,-0.010942693,0.8339828169867959,1.0
18735,Dok4,-0.2096978,-0.06972272,0.8339286633098996,1.0
18736,Gm15775,-0.21077976,-0.048548497,0.8330815240426463,1.0
18737,Jund,-0.21083653,-0.015789656,0.83303786821318,1.0
18738,4932702P03Rik,-0.21137367,-0.1872779,0.8326173152761442,1.0
18739,Pcx,-0.21162993,-0.046417326,0.8324195496871641,1.0
18740,Skint5,-0.2117406,-0.19788484,0.8323288384944716,1.0
18741,Dctn2,-0.21179609,-0.012431091,0.8322900848166805,1.0
18742,Trappc10,-0.21186365,-0.016971683,0.8322377536236403,1.0
18743,Gm48522,-0.21217206,-0.44124854,0.8319897486852721,1.0
18744,Crb2,-0.21241486,-0.16019216,0.8318042162467786,1.0
18745,B3gnt6,-0.21246082,-0.18240869,0.8317652079676641,1.0
18746,Cfap52,-0.21251288,-0.32228413,0.8317244610921969,1.0
18747,Asap1,-0.21264654,-0.014210002,0.8316262611137087,1.0
18748,Traf7,-0.21265402,-0.015875442,0.8316217027120769,1.0
18749,Ing5,-0.21324103,-0.018731887,0.8311634987089307,1.0
18750,Gm44899,-0.21332458,-0.055559766,0.83109452401411,1.0
18751,Wt1,-0.21359049,-0.08559252,0.8308834895632012,1.0
18752,Sbds,-0.21366553,-0.013785405,0.8308320580540443,1.0
18753,Lcmt1,-0.21403137,-0.01974971,0.8305474902250205,1.0
18754,Aldh4a1,-0.21407166,-0.031947393,0.8305149643558029,1.0
18755,Sowaha,-0.21433322,-0.44599372,0.8303043375651398,1.0
18756,Slc2a10,-0.21444145,-0.054605845,0.8302259980481916,1.0
18757,Cyp17a1,-0.21469668,-0.30209398,0.830021373434598,1.0
18758,Gm26804,-0.21480483,-0.098331615,0.8299446349887474,1.0
18759,1110002E22Rik,-0.21486518,-0.23618022,0.8298912850295382,1.0
18760,Serpind1,-0.21491368,-0.07611585,0.8298607759874419,1.0
18761,Olfr263,-0.21519114,-0.32231736,0.8296355182944561,1.0
18762,Gm31749,-0.21524069,-0.06996881,0.8296016873482646,1.0
18763,Gm45894,-0.21556588,-0.06362285,0.82935070678801,1.0
18764,4933417D19Rik,-0.21578315,-0.13514452,0.8291806830309857,1.0
18765,Faiml,-0.21585996,-0.24849832,0.8291190580181507,1.0
18766,Gm41293,-0.21596622,-0.15423621,0.8290353869884944,1.0
18767,Mphosph9,-0.2159669,-0.019206258,0.8290382723251849,1.0
18768,Gm6116,-0.21600993,-0.44957662,0.8289972683863733,1.0
18769,Sqle,-0.21604104,-0.021619452,0.8289802457080574,1.0
18770,A430034D21Rik,-0.21621713,-0.189638,0.8288477262004661,1.0
18771,Olfr1444,-0.21631943,-0.38832346,0.8287575282722454,1.0
18772,F630040K05Rik,-0.21711,-0.16296886,0.8281435805299755,1.0
18773,BC035947,-0.21713935,-0.14325115,0.828127425554692,1.0
18774,1700109G14Rik,-0.21715641,-0.14276147,0.8281049115331467,1.0
18775,Gm45353,-0.21758887,-0.046872675,0.8277735316226207,1.0
18776,Nmrk1,-0.21761382,-0.024005214,0.8277538425885539,1.0
18777,Bud13,-0.21789056,-0.023289561,0.8275390880554213,1.0
18778,Pum3,-0.2179889,-0.012679824,0.8274619052985817,1.0
18779,Hpca,-0.21825832,-0.114707775,0.8272475276355249,1.0
18780,Gm11491,-0.21827582,-0.08977477,0.8272382745010433,1.0
18781,Sorbs2,-0.21828412,-0.06449533,0.8272329439694358,1.0
18782,Gm28644,-0.21866474,-0.4553027,0.8269287116803593,1.0
18783,Tarbp2,-0.21887986,-0.01606703,0.8267680800729851,1.0
18784,Sgcg,-0.218913,-0.22652744,0.8267413567425764,1.0
18785,Pspc1,-0.21969861,-0.013016278,0.8261315049916942,1.0
18786,Gm41335,-0.21987362,-0.0776721,0.8259943288836104,1.0
18787,Hoxa6,-0.22004361,-0.03642311,0.8258608094655474,1.0
18788,Gm10203,-0.22030877,-0.37914407,0.8256509836915419,1.0
18789,Rtl10,-0.220351,-0.03160718,0.8256221979350878,1.0
18790,Fto,-0.22049692,-0.012016296,0.8255096228156318,1.0
18791,Cpa4,-0.22051644,-0.45932177,0.8254866051503998,1.0
18792,Cops7a,-0.22053666,-0.013289664,0.8254782678075576,1.0
18793,Angptl8,-0.220736,-0.10222958,0.8253206228702159,1.0
18794,Gm15558,-0.2210072,-0.078144476,0.8251106286864719,1.0
18795,Sympk,-0.22117685,-0.013860578,0.8249795525609251,1.0
18796,Cttnbp2nl,-0.2212518,-0.1176597,0.824919031998172,1.0
18797,Ccdc190,-0.2212673,-0.28046915,0.82490303179794,1.0
18798,Svep1,-0.22140789,-0.1120368,0.8247959756927551,1.0
18799,2810407A14Rik,-0.2216981,-0.39168897,0.8245690253483633,1.0
18800,Inpp5b,-0.22184141,-0.015148445,0.8244635788144634,1.0
18801,Gm13267,-0.22192451,-0.19098885,0.8243932521802656,1.0
18802,Nme7,-0.22207394,-0.025970303,0.8242806186437698,1.0
18803,Mgea5,-0.22216438,-0.0130616315,0.8242120284798878,1.0
18804,Lrrc8b,-0.22251971,-0.022304952,0.8239343573844464,1.0
18805,Ighg3,-0.22286578,-0.37462172,0.823658262488496,1.0
18806,Gm15629,-0.2228892,-0.10650065,0.8236413539060967,1.0
18807,Gucy1b2,-0.22336383,-0.20911242,0.8232776367707083,1.0
18808,Grcc10,-0.22350922,-0.011176073,0.8231637914363674,1.0
18809,Gm15880,-0.22353946,-0.061765295,0.8231396274661755,1.0
18810,Gm14936,-0.22399005,-0.46686083,0.8227829738962206,1.0
18811,Gm805,-0.22414494,-0.3842999,0.8226652512921235,1.0
18812,Ccdc107,-0.22430977,-0.015305205,0.8225411725316893,1.0
18813,Gm45159,-0.22435433,-0.18596788,0.8225004837621055,1.0
18814,Gm44763,-0.22438651,-0.11702683,0.8224784711943633,1.0
18815,Gm30948,-0.22482936,-0.14167961,0.8221362674817905,1.0
18816,Kcp,-0.22484125,-0.15507613,0.8221215826143089,1.0
18817,Gm28857,-0.22499818,-0.092073746,0.8220030090214174,1.0
18818,Gm40578,-0.22577323,-0.36071366,0.8214021122465784,1.0
18819,Macrod1,-0.2257915,-0.0169841,0.821388826388347,1.0
18820,Gm12454,-0.22601342,-0.023274496,0.8212145166653274,1.0
18821,Eaf2,-0.22620417,-0.116768874,0.8210671508619922,1.0
18822,P2ry10,-0.22623663,-0.044523597,0.8210424401635774,1.0
18823,Zdhhc5,-0.22689427,-0.016972056,0.8205315073226418,1.0
18824,Fcna,-0.22691686,-0.10316471,0.8205185793286429,1.0
18825,Tnfrsf9,-0.22696124,-0.29731476,0.820484532859451,1.0
18826,C7,-0.22727463,-0.18354306,0.8202335159015166,1.0
18827,Ccdc33,-0.22765957,-0.41618752,0.819930152824154,1.0
18828,1810010D01Rik,-0.22780663,-0.2376445,0.8198222309432286,1.0
18829,2410131K14Rik,-0.22789738,-0.03548307,0.8197507295789999,1.0
18830,Pex11b,-0.22837834,-0.01841631,0.8193774095997687,1.0
18831,Gm42917,-0.2290533,-0.17560302,0.8188496407249196,1.0
18832,Rpl11,-0.22935362,-0.020327754,0.8186191315978957,1.0
18833,Tmem51,-0.2295429,-0.0884588,0.8184714990925122,1.0
18834,A330032B11Rik,-0.22989158,-0.16799219,0.818200306030256,1.0
18835,Klhl23,-0.23005617,-0.024421688,0.81807419511949,1.0
18836,Gm29630,-0.23039432,-0.4808396,0.8178038507635549,1.0
18837,Vmn1r216,-0.23042499,-0.36484942,0.8177868154805767,1.0
18838,Zfp975,-0.23145701,-0.028254213,0.8169843316299877,1.0
18839,Tbc1d8b,-0.23165573,-0.028467637,0.8168315356009164,1.0
18840,Bcas3os2,-0.23196995,-0.08402522,0.8165870092698437,1.0
18841,Igkv5-45,-0.23209722,-0.41163576,0.816482775344623,1.0
18842,Dlx4,-0.23222376,-0.21798958,0.816387010000099,1.0
18843,Tmtc3,-0.23227604,-0.027788345,0.8163517172591773,1.0
18844,Acsm4,-0.23233254,-0.48509008,0.8162983838539831,1.0
18845,3110002H16Rik,-0.23259993,-0.02187139,0.8160991112807475,1.0
18846,Matn4,-0.23260838,-0.22541395,0.8160886311053952,1.0
18847,Gprin3,-0.23303379,-0.05884343,0.8157626110548387,1.0
18848,Oxnad1,-0.23365542,-0.035703864,0.8152786044239998,1.0
18849,Gm47540,-0.23407169,-0.3729992,0.8149544683876442,1.0
18850,2010106C02Rik,-0.2341272,-0.04806656,0.8149110682154699,1.0
18851,Ncmap,-0.23430435,-0.25225985,0.8147683198085769,1.0
18852,Lnx2,-0.2344398,-0.030663678,0.8146693793846185,1.0
18853,Pigm,-0.23465107,-0.01862974,0.814506763336615,1.0
18854,Nf1,-0.23471388,-0.0172664,0.8144568949223105,1.0
18855,Lars,-0.23478083,-0.015939632,0.8144060923710611,1.0
18856,Ly6k,-0.23478718,-0.13478854,0.8143991757907599,1.0
18857,Gm48809,-0.23490812,-0.07811801,0.8143083567245007,1.0
18858,Dapk3,-0.23491171,-0.021986041,0.8143042721613781,1.0
18859,Vps37d,-0.23505867,-0.15651503,0.8141878876541032,1.0
18860,Trp53inp2,-0.23513834,-0.07654232,0.8141263580392348,1.0
18861,Kcnab3,-0.23516282,-0.15313502,0.8141034815904287,1.0
18862,Trav4-4-dv10,-0.23532152,-0.15150067,0.8139858666731707,1.0
18863,Chd7,-0.23539346,-0.054147802,0.8139289705478496,1.0
18864,Gm13442,-0.23594797,-0.34380278,0.8134928691209787,1.0
18865,Spatc1,-0.2362249,-0.20213096,0.8132783361423574,1.0
18866,1110004E09Rik,-0.23650563,-0.019966362,0.8130672429917034,1.0
18867,Celsr3,-0.23676498,-0.16330834,0.8128595938542019,1.0
18868,Prps2,-0.2369779,-0.016850857,0.8127010996044253,1.0
18869,Spata25,-0.23703471,-0.39040974,0.8126491236563106,1.0
18870,Fam3b,-0.23732056,-0.11522426,0.8124364453401656,1.0
18871,Zfp740,-0.23737334,-0.015808526,0.8123944446011309,1.0
18872,Drg2,-0.23757367,-0.017808206,0.8122380514038926,1.0
18873,Gm31983,-0.23760985,-0.40729037,0.8122054647570769,1.0
18874,Gm20045,-0.23778255,-0.062589966,0.8120743471167116,1.0
18875,Gm17151,-0.23834035,-0.08444754,0.811639780944227,1.0
18876,Chrd,-0.23844513,-0.4176799,0.8115569657623168,1.0
18877,Blzf1,-0.23863351,-0.02622482,0.8114175133791409,1.0
18878,4930511E03Rik,-0.23866203,-0.45697615,0.8113881176199133,1.0
18879,Idh2,-0.2388845,-0.012452294,0.811222512164642,1.0
18880,Olfr728,-0.23889832,-0.49944595,0.8112036386135674,1.0
18881,Zfyve19,-0.23890221,-0.022839045,0.8112080644155015,1.0
18882,Cdca7l,-0.23899333,-0.013672081,0.8111386372284237,1.0
18883,Gm16214,-0.23960592,-0.18225361,0.8106559801636345,1.0
18884,Tmprss11e,-0.23963328,-0.41033542,0.8106365135384171,1.0
18885,Dok1,-0.2399498,-0.022656413,0.8103953499099671,1.0
18886,Gm21123,-0.24033633,-0.2821952,0.8100893384314859,1.0
18887,9330198I05Rik,-0.2403971,-0.2628045,0.8100431460187798,1.0
18888,Tbc1d22bos,-0.24044953,-0.069136806,0.8100080665846654,1.0
18889,Olfr15,-0.24051176,-0.50298655,0.809952901451591,1.0
18890,Tsnaxip1,-0.2406366,-0.103549816,0.8098613982853058,1.0
18891,Cyhr1,-0.24077944,-0.016088279,0.8097528097421476,1.0
18892,Armt1,-0.24103256,-0.023554135,0.8095582489649811,1.0
18893,Nt5c3b,-0.24103273,-0.018070813,0.8095582296401714,1.0
18894,Pax3,-0.24150471,-0.50520194,0.8091833981414225,1.0
18895,Actn4,-0.24173938,-0.015236266,0.8090107209340187,1.0
18896,Adamtsl4,-0.24175626,-0.087286845,0.8089909431022593,1.0
18897,Rab2b,-0.24176231,-0.023120591,0.808991624296074,1.0
18898,Gm28901,-0.2419266,-0.13241836,0.8088604094687829,1.0
18899,Jade1,-0.24220103,-0.018451782,0.8086522608662381,1.0
18900,Gm48619,-0.24274716,-0.25836155,0.8082239319790279,1.0
18901,Dusp19,-0.24305494,-0.034402523,0.807990167363748,1.0
18902,Gm20498,-0.24315299,-0.039920125,0.8079136389903048,1.0
18903,Tbx2,-0.24328563,-0.25243816,0.8078075900726058,1.0
18904,Gm884,-0.24332294,-0.42511052,0.807776791648795,1.0
18905,Gm11696,-0.24350865,-0.052118592,0.8076396259008072,1.0
18906,3200001D21Rik,-0.24364804,-0.09905922,0.8075305431258495,1.0
18907,Rbmx,-0.24378787,-0.0149929365,0.8074233074558044,1.0
18908,Rab3gap1,-0.24386354,-0.016391031,0.8073640050556365,1.0
18909,Gm45820,-0.24394503,-0.10006121,0.8072967453647641,1.0
18910,Gm15932,-0.2441773,-0.17142136,0.8071205601622964,1.0
18911,Gm17597,-0.2444688,-0.18397352,0.8068949752835542,1.0
18912,Gm43298,-0.2445157,-0.4046201,0.8068512227362599,1.0
