"","Gene","MeanDecreaseGini"
"Eno1","Eno1",0
"Snhg11","Snhg11",0
"Slc1a2","Slc1a2",0
"Map1a","Map1a",0
"Map2","Map2",0
"Atp1a3","Atp1a3",0
"Clstn1","Clstn1",0
"Slc24a2","Slc24a2",0
"Syne1","Syne1",0
"Adcy1","Adcy1",0
"Syp","Syp",0
"Lars2","Lars2",0
"Ywhae","Ywhae",0
"Scd2","Scd2",0
"Cyfip2","Cyfip2",0
"Myo5a","Myo5a",0
"Cplx2","Cplx2",0
"Sptbn1","Sptbn1",0
"Rab6b","Rab6b",0
"Nap1l5","Nap1l5",0
"Dync1h1","Dync1h1",0
"Ywhag","Ywhag",0
"Tmod2","Tmod2",0
"Macf1","Macf1",0
"Skp1a","Skp1a",0
"Slc25a4","Slc25a4",0
"Cox4i1","Cox4i1",0
"Dst","Dst",0
"Lrp1","Lrp1",0
"Sgk1","Sgk1",0
"Atp2b2","Atp2b2",0
"Napb","Napb",0
"Rasgrf1","Rasgrf1",0
"Enpp2","Enpp2",0
"Akap11","Akap11",0
"Snca","Snca",0
"Sort1","Sort1",0
"S100b","S100b",0
"Pgm2l1","Pgm2l1",0
"Epb41l1","Epb41l1",0
"Arhgef9","Arhgef9",0
"Enc1","Enc1",0
"Slc1a3","Slc1a3",0
"Nsg2","Nsg2",0
"Prrc2b","Prrc2b",0
"Hectd4","Hectd4",0
"Thra","Thra",0
"Mycbp2","Mycbp2",0
"Prkar1b","Prkar1b",0
"Spag9","Spag9",0
"Rab2a","Rab2a",0
"Syngr1","Syngr1",0
"Atp5a1","Atp5a1",0
"Kcna2","Kcna2",0
"Prepl","Prepl",0
"Sorl1","Sorl1",0
"Ppp2ca","Ppp2ca",0
"Dlg2","Dlg2",0
"Slc8a1","Slc8a1",0
"Reps2","Reps2",0
"Srsf6","Srsf6",0
"Phactr1","Phactr1",0
"Nfasc","Nfasc",0
"Pisd.ps3","Pisd.ps3",0
"S100a16","S100a16",0
"Atp5g3","Atp5g3",0
"Eef1a1","Eef1a1",0
"Qk","Qk",0
"Atp6v1d","Atp6v1d",0
"Nrxn1","Nrxn1",0
"Nsg1","Nsg1",0
"Peg3","Peg3",0
"Abat","Abat",0
"Scg5","Scg5",0
"Marchf6","Marchf6",0
"Olfm1","Olfm1",0
"Pde10a","Pde10a",0
"Nedd4","Nedd4",0
"Ubr3","Ubr3",0
"Gda","Gda",0
"Usp9x","Usp9x",0
"Gad2","Gad2",0
"Camta1","Camta1",0
"Cdc42","Cdc42",0
"Sv2b","Sv2b",0
"Lsamp","Lsamp",0
"Herc1","Herc1",0
"Sult4a1","Sult4a1",0
"Clasp2","Clasp2",0
"Disp2","Disp2",0
"Ptms","Ptms",0
"Wnk1","Wnk1",0
"Plcb1","Plcb1",0
"Nefl","Nefl",0
"Gatm","Gatm",0
"Mir124a.1hg","Mir124a.1hg",0
"Fbxl16","Fbxl16",0
"Sipa1l1","Sipa1l1",0
"Atp6v0a1","Atp6v0a1",0
"Prkacb","Prkacb",0
"Dzank1","Dzank1",0
"Cdc42bpa","Cdc42bpa",0
"Spock1","Spock1",0
"Slc4a10","Slc4a10",0
"Dmxl2","Dmxl2",0
"Map1lc3b","Map1lc3b",0
"Uhmk1","Uhmk1",0
"Celf2","Celf2",0
"Cacna1e","Cacna1e",0
"Rnf112","Rnf112",0
"Ndufb9","Ndufb9",0
"Prrc2a","Prrc2a",0
"Nisch","Nisch",0
"Lrrc7","Lrrc7",0
"Nos1ap","Nos1ap",0
"Gabrb3","Gabrb3",0
"Abca2","Abca2",0
"Smg1","Smg1",0
"Slc4a4","Slc4a4",0
"G3bp2","G3bp2",0
"Eid1","Eid1",0
"Ndufb2","Ndufb2",0
"age_days","age_days",0
"Ptprn2","Ptprn2",0
"Matr3","Matr3",0
"Prickle2","Prickle2",0
"Syn1","Syn1",0
"Pnmal2","Pnmal2",0
"Dnm3","Dnm3",0
"X2610507B11Rik","X2610507B11Rik",0
"Tmem59","Tmem59",0
"Rab3a","Rab3a",0
"Stx1b","Stx1b",0
"Hpca","Hpca",0
"Son","Son",0
"X1500009C09Rik","X1500009C09Rik",0
"Gls","Gls",0
"Cntn2","Cntn2",0
"Fasn","Fasn",0
"Uqcrc2","Uqcrc2",0
"Psmb1","Psmb1",0
