"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1qa",155.425586423313,0.885692454103772,0.146425647092789,6.04875219395491,1.45971982108046e-09,7.56263666127422e-07
"Tmeff1",293.510837348683,-0.497856761169647,0.0825728700732203,-6.02930188484644,1.64669440581509e-09,8.28757770240939e-07
"Tgfb3",84.3890376658579,0.462066067515928,0.0772968204821897,5.97781467120494,2.26150800698334e-09,1.10656843175032e-06
"Gm13315",10.8561942819388,1.778725264746,0.302441353398711,5.88122373067514,4.0724424403969e-09,1.93881279966463e-06
"C4b",335.169280214425,1.8663708107242,0.317679121041487,5.8750188070448,4.22795345984502e-09,1.95987895250447e-06
"Olig1",548.423516782733,-0.40158311537036,0.0684673615615497,-5.86532190245642,4.48262185620102e-09,2.02465087171746e-06
"Ccl27a",118.012427726972,-0.621763010674216,0.106093273177265,-5.86053188909864,4.61386920443301e-09,2.03183265090219e-06
"Calm1",13383.9050912814,-0.289923831714959,0.0496820173731505,-5.83558895238505,5.3600890733607e-09,2.30287729334753e-06
"Laptm5",174.239904762097,0.421715551019599,0.0727388745155869,5.7976639565578,6.72450264437808e-09,2.82028843049333e-06
"Kcnh2",233.776170270191,0.447437422840347,0.0773857176914855,5.7819121691699,7.38562677394873e-09,3.02553059588621e-06
"Cyp3a11",4.47662994771592,-5.1671752304941,0.895457006961863,-5.77043363368775,7.90678008925053e-09,3.09506513938107e-06
"Neat1",1059.44660766536,0.714415787030627,0.123793656782293,5.77102095212375,7.879267599394e-09,3.09506513938107e-06
"Dnah17",13.2448976634738,1.08717689064578,0.189668677782751,5.73197906662821,9.92655258847497e-09,3.80122225752145e-06
"Klhl5",236.991885259238,-0.345938313574034,0.0604871495731856,-5.71920343436701,1.07024595815564e-08,3.92757969852324e-06
"Prkab2",233.620982526146,-0.370735659719147,0.0648133562520077,-5.72005032847937,1.06492504517968e-08,3.92757969852324e-06
"Mmp12",3.36132758948382,3.71907352737612,0.65120525310545,5.71106192654421,1.12273379472529e-08,3.9553911588172e-06
"Them4",204.221173014849,-0.457985184151291,0.0801886714118053,-5.71134520734642,1.12086620297621e-08,3.9553911588172e-06
"Ppl",14.1390389244277,1.05550962442593,0.185911721833072,5.6774775362129,1.36695471206323e-08,4.7213543633321e-06
"Scg2",1241.81578536331,0.234962626144708,0.0415298172836129,5.65768504446131,1.53428357806895e-08,5.19738562070857e-06
"Timp2",1996.1207974463,0.201759948365295,0.0357267052901111,5.64731471113684,1.62973331627274e-08,5.41655705021591e-06
"Pwwp2b",71.6219493283193,0.550008882166714,0.0978295250479895,5.62211542882285,1.88633150318023e-08,6.04140535063994e-06
"Inpp5j",434.954530308387,0.323703042931594,0.0575746813471953,5.62231584017899,1.88414380074211e-08,6.04140535063994e-06
"Lhb",8.5864917117144,2.19810592370657,0.396257480433136,5.54716575016802,2.90337480645481e-08,9.13266914566099e-06
"Myo15",15.3340307150697,1.11183626098591,0.200615166064811,5.54213463914649,2.98806405928352e-08,9.23416638671565e-06
"Pdzrn3",93.227058422102,-0.569445371272714,0.10316019797915,-5.52001045391369,3.3897949564502e-08,1.02950410617018e-05
"Cycs",99.4412571520587,-0.573838938433841,0.104040191620781,-5.51555057227732,3.47689741642099e-08,1.03806013542806e-05
"Lcn2",9.56185622557505,2.62544879244448,0.476447869800486,5.51046391191526,3.57889184108382e-08,1.05070299634486e-05
"Elmod2",105.376763599493,-0.409326914908237,0.0744838825307028,-5.49550991436986,3.89583054566248e-08,1.12500090265319e-05
"Gpr17",210.579874806174,-1.02961859467142,0.187726094584113,-5.48468553054613,4.14205573040496e-08,1.17681147888844e-05
"Vxn",1221.16216736471,-0.531656065026595,0.0970908220977878,-5.47586325400687,4.35383822637418e-08,1.21734698980288e-05
"Tspan2",919.275676120313,-0.801450821696052,0.146560587810988,-5.46839251715915,4.54135316912744e-08,1.24993650115906e-05
"Fcer1g",39.5594803019246,0.723616207168726,0.132603887911936,5.45697579884906,4.84312334234545e-08,1.31248642577562e-05
"Tsc22d1",1398.57484880033,-0.173170576432049,0.0318087765177174,-5.44411308418584,5.20641381902816e-08,1.38956029427547e-05
"C1qc",191.567794449084,0.752486204406473,0.138502630225003,5.43301021203735,5.54112352301529e-08,1.43846000036599e-05
"Col1a1",69.1292391577119,-1.25183175698276,0.230428320359379,-5.43262978713029,5.55295373402711e-08,1.43846000036599e-05
"Map1lc3a",639.387345889009,-0.49297484460118,0.091644956861618,-5.37918136996411,7.4825298090405e-08,1.91021395052534e-05
"Syndig1",225.58978356901,-0.314910984922371,0.0586135609123034,-5.372664278042,7.75816932580609e-08,1.95228789534392e-05
"Arntl",236.067730519337,-0.376890687983303,0.0702575282051017,-5.36441713239686,8.12110323187692e-08,2.0148342736551e-05
"Rnf4",394.266304195339,-0.218091541881469,0.0408083211044131,-5.34429096760571,9.07716581974848e-08,2.22075383215097e-05
"Cxcl12",299.955700822646,-0.279882822750376,0.0525948094564993,-5.32149133427064,1.02920014592671e-07,2.44991359060797e-05
"Ptp4a1",59.631406599519,-0.571969833035383,0.107442505751802,-5.32349677656127,1.01791257702188e-07,2.44991359060797e-05
"Rufy2",329.178338268672,-0.389792496877573,0.0733588577984536,-5.31350280764309,1.07537778207537e-07,2.52570395083435e-05
"Plp1",26739.5481401351,-0.707486887009951,0.133263118416798,-5.30894740731783,1.10260140720614e-07,2.55556891946529e-05
"4833439L19Rik",676.896995039297,-0.347478782557073,0.0655625038751056,-5.29996205176984,1.15826752637934e-07,2.64972499703534e-05
"Doc2g",73.3761016626344,0.935085105865551,0.176573495940136,5.29572743002479,1.18543550655154e-07,2.67710851896222e-05
"Abhd5",144.946336452842,-0.424414767824595,0.0807255246606638,-5.25750398784841,1.46023729078346e-07,3.25595947812033e-05
"Vmp1",464.494026853585,-0.357495224883345,0.0681633394579522,-5.2446847194726,1.56549794276433e-07,3.44703078272422e-05
"Zbtb18",1240.15258126496,-0.292410383745394,0.0558056745192761,-5.23979660248335,1.60753679498992e-07,3.49589637577128e-05
"Etnppl",190.895002919794,0.709357740689214,0.13546954045245,5.23628956236252,1.63836847062402e-07,3.5194951963466e-05
"Slco1c1",257.379579780358,-0.428001026139634,0.0824368022574525,-5.19186836969942,2.08194179282065e-07,4.41848249163081e-05
"Nrep",999.611887663081,-0.920720697621387,0.177657759750766,-5.18255267269529,2.18869527869281e-07,4.58974611121117e-05
"Vim",246.475816375577,0.672926970775943,0.12992013296522,5.17954342731535,2.22429628640911e-07,4.60952695118781e-05
"Lncpint",35.3850868420592,1.15558853600737,0.223471448506916,5.17107909635982,2.32746017905294e-07,4.76723384349042e-05
"Galnt16",742.983927455741,0.368548247893025,0.0713592254849392,5.16468957431172,2.40838278733781e-07,4.82087077260858e-05
"Tnc",26.9209517085712,-1.02401456701337,0.198243625421168,-5.16543502893403,2.39880343879754e-07,4.82087077260858e-05
"Firre",403.521843201764,-0.482473827372294,0.0939589722979673,-5.13494151300686,2.8223178017835e-07,5.58596944701308e-05
